city,area_sqft,bedrooms,bathrooms,parking,building_age,near_metro,gym,pool,price
Mumbai,5826,2,2,1,28,1,0,1,106371098
Delhi,6976,5,1,0,12,1,1,1,94424841
Bangalore,3648,2,4,0,14,1,0,0,35392065
Pune,3859,1,4,1,17,1,0,1,39003984
Bangalore,1504,6,2,1,17,0,0,0,16974466
Hyderabad,2594,3,4,0,6,1,1,1,25854397
Delhi,5217,1,2,0,9,1,0,1,70427035
Pune,3771,6,1,1,15,1,0,0,38936162
Pune,5022,3,2,1,22,0,0,1,49610930
Chennai,709,4,1,1,25,1,0,0,8124586
Mumbai,1387,5,4,0,22,0,1,1,27982685
Chennai,6039,6,3,1,28,0,0,0,48027157
Pune,653,4,3,0,7,0,1,0,8744671
Delhi,4093,1,3,1,18,0,0,0,54753555
Bangalore,914,5,2,0,28,1,1,0,10952191
Bangalore,3924,6,3,1,10,1,0,0,39727429
Delhi,5776,1,2,0,20,0,1,0,76089163
Pune,1784,5,4,1,5,0,1,1,22211338
Bangalore,3648,5,1,1,28,1,0,0,35410490
Bangalore,1268,1,3,0,23,0,0,1,12728156
Bangalore,1482,1,2,0,23,0,0,1,13313861
Mumbai,6107,6,4,0,9,0,1,0,114613157
Mumbai,3702,5,4,1,18,1,1,0,71027421
Hyderabad,5174,6,3,1,27,0,1,1,45647197
Chennai,4026,5,4,1,13,0,1,1,34437145
Delhi,3287,6,4,1,19,0,0,0,46571442
Delhi,2710,1,4,1,5,1,1,0,37940166
Delhi,1538,1,2,0,3,0,0,1,21267864
Hyderabad,6838,2,4,0,25,1,1,1,59121543
Mumbai,4432,6,4,1,19,1,0,1,84829445
Pune,1041,2,4,1,14,1,1,0,13207409
Pune,858,2,4,0,4,1,1,0,11063729
Hyderabad,1349,4,4,1,15,0,0,1,15125227
Pune,5022,5,2,0,25,0,1,1,50681649
Delhi,3044,3,4,0,6,1,1,0,43198693
Chennai,5081,4,4,0,27,0,1,1,41542604
Bangalore,2331,5,1,0,1,0,0,0,23697198
Mumbai,1972,3,4,0,12,1,1,0,38936893
Mumbai,1936,2,4,1,1,1,0,0,38271089
Hyderabad,829,3,2,0,27,0,1,1,8778205
Mumbai,6351,1,4,1,25,0,1,0,116113288
Delhi,5766,1,2,0,29,0,0,0,75109481
Pune,4854,6,3,1,8,0,0,0,50513067
Delhi,6935,5,4,0,19,1,0,1,94170652
Hyderabad,4738,4,1,1,4,1,1,1,43401175
Delhi,6612,2,2,1,2,1,0,0,88064921
Pune,4508,5,3,0,1,0,1,0,46814156
Chennai,5222,2,1,0,13,1,1,1,41069421
Hyderabad,1888,1,2,0,25,0,0,0,14894299
Chennai,4685,4,3,1,7,1,1,1,39580851
Bangalore,1219,4,1,0,19,0,1,1,13281146
Chennai,3735,1,4,0,29,0,1,1,29169052
Bangalore,5076,3,1,1,11,1,1,1,48780149
Bangalore,2631,4,1,0,16,1,0,0,26744367
Chennai,1600,3,1,0,28,0,1,1,12630627
Hyderabad,1172,2,2,1,15,0,1,0,11057764
Pune,1016,4,4,0,5,1,0,0,13706638
Delhi,3032,6,4,1,5,0,0,1,44188166
Delhi,6209,1,2,0,17,0,1,1,81568454
Pune,4170,3,1,1,1,0,0,1,41478300
Bangalore,1281,6,4,1,7,1,0,1,16640562
Bangalore,6747,2,1,0,26,0,1,1,62200560
Hyderabad,4023,2,4,1,22,0,0,0,34970710
Mumbai,4058,4,2,0,13,0,1,1,75342402
Chennai,6631,4,3,1,1,1,1,1,54722134
Bangalore,2886,6,1,1,25,1,1,0,29559290
Delhi,5282,5,4,0,16,1,0,1,73190153
Hyderabad,2089,5,4,0,26,0,1,0,19916654
Chennai,5495,4,4,0,23,0,1,1,44937336
Hyderabad,2001,5,2,1,15,0,1,0,19313995
Chennai,4294,1,2,0,25,0,0,0,32356495
Chennai,4818,6,3,1,17,0,0,1,39503162
Pune,3580,1,2,1,20,0,1,1,35691579
Bangalore,1576,5,1,0,5,1,1,0,17665843
Hyderabad,1600,4,2,1,25,0,0,1,15432988
Hyderabad,6337,1,4,0,16,1,1,0,54472479
Pune,1002,2,1,1,17,0,0,0,10747413
Delhi,1839,4,2,0,13,0,1,0,25795381
Delhi,4385,6,1,1,9,1,0,0,61150823
Bangalore,1123,3,1,1,3,1,1,0,13383775
Bangalore,2386,3,2,0,17,0,1,1,23170036
Mumbai,6808,4,1,1,10,0,0,0,124806113
Pune,3850,5,4,1,21,0,0,1,39867039
Delhi,1550,1,4,1,15,1,0,1,22378518
Chennai,5689,1,2,1,29,0,1,0,42415856
Hyderabad,6581,4,2,1,3,0,0,1,56673725
Bangalore,5984,2,4,0,26,1,0,0,56201832
Hyderabad,4272,6,2,0,18,1,0,1,39715434
Hyderabad,4416,5,4,1,5,0,0,1,41169387
Mumbai,4518,2,1,0,24,0,0,0,81802487
Delhi,1829,4,2,0,7,1,0,0,27647630
Bangalore,5743,4,3,1,17,0,1,1,54720338
Hyderabad,4614,2,4,0,18,1,0,1,40202112
Bangalore,5876,3,4,1,17,1,0,1,56099090
Chennai,3867,4,1,0,15,0,0,0,30815172
Mumbai,5641,6,3,1,25,1,1,0,105697641
Chennai,4451,5,3,1,6,1,0,1,37727746
Bangalore,5584,2,3,1,24,0,1,0,51157885
Bangalore,2997,3,4,1,16,1,0,0,29882633
Delhi,2073,2,4,0,26,1,1,1,29632244
Hyderabad,5667,3,3,0,2,0,0,0,48544518
Hyderabad,3134,3,2,1,21,0,1,1,27292313
Chennai,3268,6,3,0,14,1,1,1,29485847
Mumbai,5802,5,1,1,3,0,0,0,106963182
Pune,6054,4,3,1,25,1,1,0,60389624
Hyderabad,6750,3,3,0,15,1,0,1,58378936
Delhi,1711,4,3,1,13,1,1,1,26352675
Chennai,1275,5,2,1,25,0,1,0,11821882
Chennai,6455,4,3,0,16,1,1,1,52003988
Pune,6462,6,3,1,8,1,1,1,67529175
Delhi,1660,6,4,1,6,0,0,0,25559140
Mumbai,6477,1,3,0,13,0,0,0,117874845
Delhi,2883,6,1,0,26,0,0,1,40194345
Mumbai,3154,3,4,1,27,0,1,1,59571222
Delhi,6376,5,2,0,22,1,1,1,86695358
Delhi,4040,6,4,0,11,0,0,1,57253934
Bangalore,5197,2,2,0,16,0,0,1,48515267
Chennai,6190,5,2,0,8,1,0,0,49473071
Delhi,5135,3,1,0,11,1,1,1,69916206
Pune,1595,5,3,0,11,0,1,1,18958957
Delhi,6401,6,1,1,7,0,0,1,86889086
Hyderabad,523,2,4,1,26,0,0,1,6474757
Chennai,5219,1,2,0,27,0,0,0,38491249
Hyderabad,6431,3,4,0,9,1,1,1,56814660
Chennai,4056,3,2,0,11,0,1,1,32276488
Hyderabad,1579,5,4,1,4,1,0,1,18884240
Delhi,5581,4,2,1,19,1,0,1,76197388
Delhi,4818,4,1,1,0,0,1,0,66108453
Bangalore,678,2,2,1,8,1,0,0,8474909
Pune,3347,1,3,0,14,0,0,1,33413427
Hyderabad,2460,1,1,0,23,0,0,0,20530031
Mumbai,1973,5,3,0,28,0,1,1,38028359
Bangalore,5388,5,4,0,1,0,0,0,52894205
Hyderabad,5479,4,4,0,3,1,1,0,48771210
Hyderabad,1712,6,2,1,3,0,0,0,17260338
Bangalore,6197,1,2,0,28,1,1,0,57043815
Delhi,1309,6,4,1,22,0,1,1,21709890
Hyderabad,5556,1,1,0,2,1,0,0,46736079
Delhi,919,6,3,0,15,1,1,0,17116520
Bangalore,4159,6,4,1,7,0,1,0,42332364
Delhi,5783,1,1,1,26,0,0,0,74807072
Chennai,4316,2,3,0,6,1,0,1,35006836
Mumbai,1778,2,2,1,25,1,1,1,33917462
Hyderabad,3023,5,1,1,11,1,0,1,28499296
Pune,1940,6,1,1,11,0,0,1,22233143
Mumbai,6813,6,4,0,3,0,0,1,127938318
Delhi,1840,6,3,0,14,0,0,0,27075172
Hyderabad,2721,6,4,0,24,0,0,1,25712020
Delhi,2892,6,2,1,5,1,0,0,41964401
Chennai,5637,4,2,1,2,1,0,0,46598624
Bangalore,5689,3,3,0,6,1,1,0,54075016
Hyderabad,1861,6,3,0,21,1,0,1,20228705
Chennai,1091,4,3,1,23,1,0,0,11128439
Chennai,1026,2,4,0,20,0,0,0,9741832
Hyderabad,3003,6,3,0,5,0,0,0,28403492
Delhi,1792,2,3,1,0,1,0,0,27146187
Pune,2154,5,4,1,7,0,0,1,25223897
Chennai,5406,3,2,0,0,0,1,0,42577854
Mumbai,687,1,2,1,15,0,0,0,12509907
Chennai,6188,3,1,1,2,0,1,1,49195437
Pune,3258,6,2,0,27,0,1,1,33728425
Delhi,1028,6,3,1,1,1,1,1,19605802
Delhi,933,3,2,1,5,1,1,0,15485431
Mumbai,6931,3,4,0,7,0,0,0,126979458
Chennai,6537,5,2,1,23,1,0,0,52249917
Delhi,4012,2,2,1,6,1,0,1,55801990
Pune,2304,1,1,0,6,0,1,1,22626816
Hyderabad,802,3,1,1,23,0,0,0,7912888
Bangalore,4682,1,3,0,20,0,1,1,43696275
Bangalore,937,3,4,0,18,0,1,1,11138298
Bangalore,3088,2,3,1,17,1,0,1,31199234
Chennai,5641,1,4,0,2,0,1,1,44859979
Mumbai,1332,4,4,0,10,0,0,0,26307808
Delhi,1296,2,1,1,10,1,1,0,18527594
Hyderabad,1059,1,2,0,2,0,1,0,10066981
Pune,4088,3,2,0,27,1,0,0,39948238
Hyderabad,1261,3,1,1,22,1,1,0,13200830
Pune,6294,2,3,0,0,0,0,1,62256186
Chennai,4074,2,2,0,22,1,0,0,31585409
Bangalore,4285,3,3,1,21,0,0,0,40810892
Chennai,3014,1,2,1,26,1,1,1,23889201
Mumbai,5720,4,3,0,9,0,0,1,106546996
Mumbai,1184,5,4,0,29,0,0,1,24649377
Pune,5760,2,4,0,1,1,0,1,58620669
Delhi,4733,3,2,1,25,0,0,1,62637223
Delhi,1077,1,3,0,16,1,1,1,16910939
Pune,5305,2,3,1,8,1,0,1,53139138
Mumbai,727,1,4,0,17,0,0,1,14517658
Mumbai,2828,2,3,0,19,1,0,0,52414841
Mumbai,3231,3,1,1,8,0,0,1,60608936
Chennai,1327,1,3,0,24,1,0,1,11178516
Mumbai,930,3,4,1,27,0,1,0,18212208
Hyderabad,1563,1,1,1,10,1,0,0,14048822
Bangalore,2209,2,1,0,16,1,1,0,22314415
Mumbai,6282,5,3,0,13,1,0,1,118062203
Pune,1734,5,4,1,17,1,1,0,20662995
Bangalore,801,4,4,1,17,1,0,0,10457391
Chennai,5705,4,4,1,11,0,1,1,46601713
Pune,1920,6,1,0,17,0,1,0,21008629
Bangalore,5128,3,4,0,7,1,0,0,49994369
Pune,1268,1,1,0,28,0,1,1,12443988
Chennai,6534,4,1,0,7,0,0,0,50770390
Hyderabad,1904,2,2,1,25,0,0,1,16783133
Chennai,943,5,3,1,27,1,1,0,11191748
Chennai,3604,1,4,1,7,0,1,0,29723145
Pune,4855,6,1,0,27,0,1,0,48878982
Delhi,3805,5,3,0,19,1,0,1,53255320
Mumbai,2038,1,1,0,14,1,1,0,37967219
Mumbai,4430,4,3,1,7,1,1,0,83427116
Hyderabad,1831,4,1,1,13,1,1,0,17579031
Hyderabad,569,3,4,1,12,1,0,0,7742744
Mumbai,6073,6,2,1,22,0,0,0,112527520
Delhi,6058,1,2,0,7,0,1,0,79745985
Mumbai,6444,6,2,0,16,0,1,1,120137035
Delhi,3935,2,1,0,18,1,1,1,52950088
Hyderabad,980,6,3,1,25,0,0,1,10932443
Bangalore,5763,4,4,1,5,1,1,1,56568621
Pune,4594,3,4,1,16,0,1,1,47016734
Hyderabad,6667,4,1,1,3,0,0,0,56530977
Hyderabad,3996,5,2,0,24,1,0,1,36580733
Chennai,3293,4,1,0,6,0,1,0,26993733
Chennai,3392,1,3,1,16,0,1,1,26734670
Chennai,1698,3,2,0,28,1,0,0,15025264
Pune,2872,1,1,1,27,0,1,1,27699136
Chennai,2392,2,3,1,21,0,0,0,19555386
Delhi,6290,2,2,1,21,0,1,0,83239031
Mumbai,2383,4,4,1,27,1,1,1,46863823
Bangalore,5967,3,3,1,17,1,1,1,57954136
Hyderabad,1297,6,4,0,5,0,0,0,14694402
Delhi,517,3,3,0,29,0,1,1,8326440
Bangalore,543,3,2,0,9,1,0,1,7528035
Delhi,654,3,1,0,17,1,1,0,10935725
Delhi,5462,4,1,0,23,1,0,0,73430392
Hyderabad,3948,1,1,0,6,0,1,0,33753076
Mumbai,5338,4,1,1,13,0,0,1,99003921
Chennai,4580,6,3,1,21,1,0,0,39119667
Pune,6447,1,1,0,13,1,1,0,62002803
Mumbai,1925,6,1,1,9,0,0,1,38984199
Pune,4820,5,3,1,21,1,1,0,49675945
Hyderabad,4812,5,3,1,24,0,1,0,41832724
Hyderabad,4139,1,2,0,8,1,1,1,36093686
Hyderabad,4626,4,3,0,25,1,0,0,40987959
Bangalore,2392,6,4,0,9,0,1,1,26225757
Pune,5678,6,2,1,1,1,1,1,59474705
Mumbai,6511,2,2,0,2,1,1,0,120347914
Mumbai,1397,6,1,0,15,0,0,0,27983877
Delhi,3924,4,1,0,9,0,1,1,53243272
Delhi,5040,2,4,1,22,0,1,1,67367654
Delhi,1758,4,1,0,10,0,1,1,24960866
Hyderabad,5726,3,3,0,9,0,1,1,49543258
Mumbai,5810,6,3,0,11,1,0,1,109466304
Pune,2515,3,1,1,28,1,1,1,25862424
Hyderabad,6532,5,1,0,13,0,1,1,56401960
Bangalore,5333,5,3,0,29,0,1,0,50032991
Delhi,2202,1,2,1,8,1,0,1,31370478
Hyderabad,1373,6,4,0,27,0,1,0,14537501
Hyderabad,1065,2,4,0,12,0,1,1,11310260
Bangalore,2518,3,2,0,29,0,1,0,23849725
Chennai,2385,4,4,0,5,1,1,0,22712195
Mumbai,2623,6,1,1,10,0,1,1,50854978
Pune,5142,1,1,1,0,1,1,1,51518755
Chennai,2814,4,1,1,26,1,0,0,23474550
Delhi,4912,3,4,0,14,0,0,0,66458735
Hyderabad,4383,6,2,0,6,0,1,0,39798350
Bangalore,3692,3,1,0,10,0,0,1,34925601
Bangalore,2359,6,2,0,16,1,0,1,25827346
Mumbai,524,6,3,1,4,0,0,1,13806134
Chennai,4003,3,3,0,8,1,1,0,33011805
Mumbai,4755,3,3,1,25,1,1,1,89559793
Hyderabad,1637,4,4,0,15,1,0,1,16812441
Mumbai,5495,1,4,0,10,0,1,1,100698741
Pune,1689,3,1,1,25,1,0,0,17122750
Bangalore,5298,5,3,0,24,1,1,0,50852501
Bangalore,4596,1,2,0,16,0,0,0,42156265
Delhi,6518,5,4,0,5,0,1,1,89374976
Delhi,3657,4,2,0,14,0,1,0,49498442
Hyderabad,2867,3,2,1,28,1,0,0,26006999
Pune,6020,1,1,0,2,1,1,0,59016593
Chennai,4977,3,1,1,27,0,1,0,38754906
Mumbai,2241,6,2,1,8,1,0,1,45855918
Hyderabad,4188,3,2,0,29,1,1,0,36265323
Delhi,6422,1,2,0,11,0,0,1,84382323
Mumbai,5869,3,2,1,18,1,0,0,108540524
Delhi,6144,3,3,1,17,1,0,1,83389553
Mumbai,4246,2,2,0,15,0,0,0,77256702
Chennai,6174,2,4,0,7,0,1,0,48466969
Hyderabad,1397,1,1,1,18,1,1,1,12980223
Mumbai,4523,1,4,0,4,1,0,0,84196107
Pune,1216,6,1,0,11,0,1,0,14488169
Bangalore,4467,6,1,1,5,0,1,1,43925114
Pune,6950,3,1,0,11,0,1,1,67852168
Pune,4521,5,4,1,25,0,1,0,45859589
Bangalore,3715,1,1,0,14,0,0,0,33914905
Pune,890,3,2,1,29,0,1,0,10295571
Mumbai,4384,5,2,1,9,0,0,0,82310987
Mumbai,2199,2,3,1,16,0,0,0,41226834
Mumbai,3537,6,3,1,6,1,1,1,70083051
Bangalore,6941,1,3,1,26,0,1,0,63949552
Pune,732,3,2,0,6,0,1,0,9863598
Bangalore,2426,2,4,0,20,0,0,0,22634720
Mumbai,6914,4,3,1,24,1,0,0,127429675
Pune,3631,2,2,1,10,1,1,0,37869772
Pune,5915,3,1,1,1,0,1,1,58680372
Delhi,3806,6,4,1,20,0,0,0,52669912
Delhi,3224,5,4,1,1,1,0,0,47038364
Chennai,5301,4,2,0,13,0,1,1,42284021
Hyderabad,733,4,2,1,17,1,1,0,9792902
Delhi,1891,6,1,0,15,0,1,0,27308722
Bangalore,3392,4,1,1,27,0,0,0,32192598
Delhi,1755,1,1,1,10,1,0,1,24859834
Chennai,6492,3,4,0,8,1,1,1,52569388
Pune,3038,4,4,1,6,1,0,1,33268751
Chennai,4190,2,3,1,3,1,0,0,34214730
Pune,1389,5,3,0,15,1,0,0,16756562
Pune,5187,3,3,0,13,1,1,0,51763570
Hyderabad,1245,6,4,1,10,1,1,0,16082346
Delhi,2219,2,1,0,29,1,1,1,30740891
Bangalore,927,1,3,1,7,1,0,1,11296753
Bangalore,1231,4,1,0,10,0,0,0,12484822
Mumbai,1299,2,1,1,26,0,1,1,25214495
Pune,4797,3,1,0,28,0,1,0,46883415
Bangalore,6789,2,3,1,19,0,0,0,62506695
Hyderabad,1335,1,3,0,16,0,1,1,12783759
Pune,634,5,1,0,27,1,0,1,9113635
Hyderabad,5883,4,3,1,29,0,1,1,51037232
Bangalore,6707,3,2,1,25,0,1,0,62003068
Bangalore,3038,4,3,1,29,0,1,0,29311501
Mumbai,4218,4,1,0,18,1,0,1,78663063
Bangalore,540,6,1,1,9,1,1,1,10015193
Pune,3867,4,4,1,11,1,1,1,41480187
Pune,5508,2,4,0,0,0,1,1,56233676
Pune,6325,2,1,0,1,0,0,1,62080488
Mumbai,5570,5,2,1,17,0,0,0,102329088
Mumbai,5729,1,4,1,6,0,1,0,105035411
Bangalore,2915,3,1,0,15,0,1,1,27730829
Chennai,6055,2,4,0,12,0,1,1,47432816
Chennai,2540,4,4,1,3,1,1,0,23974888
Mumbai,4839,1,1,0,9,1,1,0,88882063
Bangalore,3449,3,3,0,27,1,0,1,33808712
Chennai,4761,3,2,1,8,1,0,0,38770103
Bangalore,5645,3,3,1,17,0,0,1,53850590
Bangalore,3966,3,1,1,8,0,1,0,37456113
Bangalore,6093,5,1,0,21,0,0,0,56646542
Delhi,3588,3,2,1,9,0,1,1,49118915
Pune,5323,1,1,0,7,0,0,1,52261372
Bangalore,1615,2,4,0,22,0,1,0,16469227
Delhi,5078,1,2,0,10,0,0,1,67665860
Mumbai,3090,4,3,0,12,0,1,1,58292535
Chennai,4073,6,2,1,23,1,0,1,34117934
Pune,3478,5,3,0,12,0,0,1,36365288
Chennai,2947,5,1,1,15,1,1,0,25389153
Pune,1730,4,3,0,12,0,1,0,19241162
Chennai,3166,1,3,0,24,0,1,0,24211857
Pune,6744,1,3,1,11,1,1,0,66187433
Chennai,5475,4,2,1,14,0,1,0,43808147
Chennai,5425,6,4,1,28,0,0,0,43374497
Chennai,6620,3,3,1,15,1,0,1,53169310
Chennai,5354,3,2,1,7,0,0,0,42679605
Mumbai,4758,2,2,1,5,1,1,1,89476035
Bangalore,5792,1,4,0,23,0,0,1,52922924
Hyderabad,3094,1,2,1,7,0,0,1,26961010
Delhi,5903,4,1,0,1,1,0,0,79686265
Hyderabad,3930,4,1,0,17,0,0,0,33739865
Hyderabad,3417,3,1,1,10,1,1,1,30975883
Pune,3452,1,4,0,16,0,1,0,34120872
Bangalore,2495,1,2,0,9,0,0,0,23400130
Pune,6530,5,1,1,1,1,0,1,66244410
Bangalore,6152,2,3,1,22,0,0,1,57380024
Bangalore,4391,2,2,0,26,1,0,0,40385805
Chennai,806,3,1,1,18,0,0,0,6968438
Mumbai,1862,6,2,1,19,1,0,0,37057214
Chennai,2602,1,1,0,19,1,1,0,21076972
Mumbai,3530,5,3,1,19,1,0,1,68452620
Pune,832,1,2,1,1,1,0,0,10708625
Mumbai,6770,4,1,1,26,0,0,1,123482972
Pune,3252,3,1,0,5,1,0,1,34053482
Hyderabad,742,6,3,0,16,0,0,1,9894591
Hyderabad,2384,2,3,1,11,0,0,1,21233740
Mumbai,1932,1,1,1,29,0,0,0,34392730
Mumbai,3050,6,1,1,4,1,0,1,59123662
Pune,802,3,4,0,1,1,0,0,11299101
Chennai,4830,2,4,0,8,0,0,0,37861214
Pune,3609,1,2,1,1,0,1,1,36637615
Chennai,2686,5,2,1,21,0,0,1,23209831
Hyderabad,4790,3,4,0,19,1,0,0,41693892
Bangalore,2050,1,1,1,13,1,1,1,20841382
Mumbai,2292,2,3,1,21,1,0,1,43294629
Chennai,1146,2,2,0,14,0,0,0,9387858
Pune,6644,5,1,1,1,1,0,1,68038047
Hyderabad,5156,3,3,1,27,1,0,1,45384778
Chennai,5715,3,3,0,17,1,1,1,46238888
Pune,1212,6,1,1,11,1,0,0,15340310
Mumbai,5008,1,1,0,6,0,0,1,91703770
Mumbai,1037,6,2,0,15,0,0,0,21575276
Delhi,6474,2,4,0,18,0,0,0,85281671
Bangalore,734,2,1,1,2,0,0,1,8690857
Delhi,2896,5,4,1,14,1,1,0,41874979
Hyderabad,6375,5,2,1,14,0,1,1,55852163
Chennai,6489,3,4,1,6,0,0,1,51704668
Hyderabad,2004,6,4,0,7,0,1,0,20579599
Pune,6458,2,3,0,6,0,1,0,64018128
Mumbai,1874,1,2,0,2,0,1,1,36063746
Delhi,5011,4,1,1,18,1,0,0,67886748
Delhi,2409,1,4,0,22,0,0,0,32284789
Delhi,1415,5,2,0,18,1,1,0,22589093
Hyderabad,4458,1,3,1,28,1,1,1,38751294
Mumbai,580,2,3,1,17,1,0,1,13799235
Chennai,2583,6,4,0,29,0,1,1,22988383
Pune,5686,3,4,1,6,0,0,1,57506594
Chennai,3188,6,1,1,18,1,0,1,27736606
Hyderabad,2190,4,2,1,4,0,1,0,21326489
Pune,1256,3,1,0,22,1,0,0,14022797
Delhi,3170,4,1,0,12,1,1,1,44592884
Bangalore,4251,4,3,0,1,0,1,1,42482390
Hyderabad,4052,2,2,0,23,0,1,0,33956396
Hyderabad,967,2,1,0,17,1,0,1,10070187
Mumbai,5761,5,3,0,3,0,1,1,108371877
Chennai,6999,5,4,0,3,1,0,0,56799458
Hyderabad,1994,4,1,0,7,1,1,1,20238816
Hyderabad,6240,6,4,1,10,0,0,1,55827550
Delhi,1519,5,2,1,0,1,1,1,25334850
Delhi,6210,2,1,0,27,0,1,1,81744827
Pune,1401,5,4,1,8,0,0,0,17286172
Bangalore,1172,4,4,1,5,1,0,1,14820991
Mumbai,938,3,2,0,3,0,1,1,20416675
Bangalore,4722,6,3,0,5,1,0,0,47611142
Pune,6848,6,3,0,12,0,1,0,68322174
Delhi,2576,1,1,1,28,1,1,1,34548869
Chennai,944,5,4,1,21,1,0,1,11075460
Delhi,1465,6,3,0,28,1,0,0,21977806
Mumbai,4290,2,1,0,29,0,1,0,77172101
Delhi,963,3,4,1,8,1,1,0,16106908
Mumbai,2698,2,1,0,26,1,1,0,49904447
Mumbai,2787,5,2,0,13,1,1,0,54313992
Mumbai,6909,4,1,1,11,0,0,0,126876776
Pune,4265,1,2,1,3,1,1,0,43542232
Mumbai,3676,1,4,0,7,1,0,0,68600378
Mumbai,4508,3,4,1,16,1,1,1,85353654
Chennai,4004,6,4,1,21,0,0,1,34654343
Bangalore,1412,6,1,0,4,1,1,1,17272424
Hyderabad,996,6,4,0,2,0,0,1,12272204
Bangalore,1963,1,4,0,3,0,1,1,20211437
Mumbai,6367,4,2,0,7,0,0,1,116865969
Chennai,4753,6,4,0,15,0,0,0,38929258
Delhi,4767,2,4,0,10,0,0,1,63910755
Chennai,993,6,4,0,26,1,1,0,11184783
Mumbai,5565,4,3,1,25,1,0,1,103799341
Chennai,5930,3,4,0,26,0,0,1,46802348
Chennai,1926,3,1,1,29,0,1,1,15905408
Mumbai,2192,1,2,0,1,1,1,1,42069171
Pune,2293,4,4,0,7,1,1,1,26808290
Chennai,3223,2,1,0,6,1,0,1,26057274
Hyderabad,1158,4,2,0,0,0,0,1,12305754
Hyderabad,5261,2,2,0,28,1,0,1,44188764
Chennai,4962,2,1,0,1,1,0,0,39348091
Pune,1049,4,1,1,22,0,1,1,11775471
Delhi,1142,5,3,0,26,0,0,1,17238460
Mumbai,6489,4,3,0,12,1,1,1,120948741
Hyderabad,4850,2,4,0,10,1,0,0,43034041
Delhi,707,6,3,1,2,0,1,0,14324460
Chennai,2997,3,1,1,1,1,1,0,25829048
Delhi,4690,3,3,0,15,1,0,0,63531531
Bangalore,2383,1,2,0,0,1,0,0,23013219
Hyderabad,3386,3,1,0,6,1,0,0,30006456
Chennai,977,5,4,0,2,1,1,1,13530105
Mumbai,1261,2,2,0,21,0,1,1,24271688
Pune,689,4,2,1,15,1,0,1,10652188
Chennai,6103,4,2,0,25,1,1,1,48772376
Mumbai,6352,5,1,1,23,0,0,0,116260641
Pune,6155,3,1,1,5,1,0,0,61738183
Pune,1255,2,4,0,13,1,0,1,15459950
Chennai,1946,3,3,1,22,0,0,1,16973870
Delhi,5431,1,3,0,10,0,1,0,71307089
Delhi,2163,3,3,1,21,1,0,0,31136077
Pune,6224,1,3,0,22,0,1,0,59631206
Delhi,2335,4,2,0,20,1,1,1,33860949
Bangalore,4728,2,1,0,24,1,1,0,44627471
Pune,4650,6,3,0,18,0,1,0,47351149
Pune,4560,1,2,1,21,0,1,1,44631247
Mumbai,5105,3,1,1,24,1,0,1,93620382
Delhi,5265,3,1,1,0,1,1,1,72327474
Pune,4112,4,1,0,20,1,0,1,42342997
Bangalore,2189,5,2,0,12,0,0,0,22157024
Mumbai,1816,6,3,1,19,0,0,0,36471829
Chennai,5329,5,1,0,8,1,0,1,43718407
Pune,3686,3,2,0,26,1,1,0,37483001
Bangalore,4520,5,1,1,28,1,1,0,43298088
Hyderabad,6289,6,4,0,10,1,0,1,56513995
Bangalore,4854,6,4,1,0,1,0,1,49110821
Bangalore,1645,2,2,0,12,1,0,0,16761126
Mumbai,4894,5,3,0,19,1,0,1,92387000
Chennai,1060,2,3,1,0,1,0,1,11944025
Hyderabad,2412,3,1,1,2,1,0,0,23118556
Delhi,2364,3,3,1,19,0,1,1,32898258
Delhi,796,3,3,1,16,0,1,0,12380391
Bangalore,2909,4,4,1,4,1,1,1,30719756
Mumbai,3136,5,2,0,5,1,1,0,60594285
Mumbai,1961,1,4,1,16,0,0,1,37455214
Delhi,6770,6,2,0,9,0,1,1,92455234
Hyderabad,4792,1,1,0,10,0,1,0,40143814
Chennai,2768,3,4,1,12,0,0,0,22993929
Hyderabad,1494,5,2,1,28,1,1,1,16391035
Pune,6734,2,3,0,9,1,0,0,66538255
Pune,507,1,2,1,13,0,0,0,5537967
Chennai,3091,3,3,1,27,1,0,1,26540008
Delhi,3015,1,1,0,12,1,0,1,41023774
Chennai,4915,1,3,0,27,1,0,0,37649926
Mumbai,1917,6,2,1,3,0,1,1,38551982
Pune,2816,1,4,0,19,0,0,1,27836793
Bangalore,4432,3,2,0,29,1,1,1,42167796
Bangalore,6294,6,4,0,16,0,0,0,60282475
Delhi,6704,3,2,0,17,0,0,0,88549090
Mumbai,6057,4,2,0,10,0,0,1,111179259
Hyderabad,1787,4,1,0,9,1,1,0,17954314
Mumbai,3344,4,3,0,20,1,0,1,64250699
Bangalore,1618,1,2,0,17,1,1,0,15536541
Bangalore,1052,5,4,0,18,0,1,1,12985994
Pune,1160,3,3,0,8,0,1,0,13443078
Mumbai,1215,4,1,1,4,1,0,0,24693184
Mumbai,4085,5,3,1,0,0,1,0,78316563
Bangalore,4261,4,2,1,4,0,0,1,41327245
Hyderabad,6837,4,4,0,2,0,0,0,59655739
Delhi,3029,5,4,0,0,0,0,1,43825578
Delhi,4470,4,3,0,18,1,0,1,61249582
Mumbai,3907,1,4,0,26,1,0,0,72279843
Delhi,1958,1,2,0,5,0,0,1,26304545
Bangalore,3767,6,4,1,9,1,1,0,39040368
Bangalore,1354,1,4,0,4,1,0,0,15410593
